Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
United Arab Emirates,ARE,High income,Middle East & North Africa,Eastern Mediterranean,1.18,9441129,10.307,97309.7166,120.6640486,114.8254656
United Kingdom,GBR,High income,Europe & Central Asia,Europe,1.11,66971395,10.1,676411.0895,838.749751,750.8163093
United States,USA,High income,North America,Americas,1.14,333287557,11,3666163.127,4546.042277,4179.425965
Uruguay,URY,High income,Latin America & Caribbean,Americas,1.14,3422794,10.473,35846.92156,44.45018274,40.86549058
Uzbekistan,UZB,Lower middle income,Europe & Central Asia,Europe,1.11,35648100,25.9,923285.79,1144.87438,1024.847227
Vanuatu,VUT,Lower middle income,East Asia & Pacific,Western Pacific,0.86,326740,29.438,9618.57212,11.92702943,8.271972023
"Venezuela, RB",VEN,0,Latin America & Caribbean,Americas,1.14,28301696,15.877,449346.0274,557.189074,512.2544712
Vietnam,VNM,Lower middle income,East Asia & Pacific,Western Pacific,0.86,98186856,15.008,1473588.335,1827.249535,1267.285968
Virgin Islands (U.S.),VIR,High income,Latin America & Caribbean,Western Pacific,0.86,105413,11.8,1243.8734,1.542403016,1.069731124
West Bank and Gaza,PSE,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,5043612,28.236,142411.4284,176.5901713,168.0454855
"Yemen, Rep.",YEM,Low income,Middle East & North Africa,Eastern Mediterranean,1.18,33696614,30.544,1029229.378,1276.244429,1214.490666
Zambia,ZMB,Low income,Sub-Saharan Africa,Africa,1.31,20017675,34.511,690829.9819,856.6291776,904.9872763
